image,label
data\BUS-CoT\000000.png,1
data\BUS-CoT\000001.png,1
data\BUS-CoT\000002.png,1
data\BUS-CoT\000003.png,1
data\BUS-CoT\000004.png,1
data\BUS-CoT\000005.png,1
data\BUS-CoT\000006.png,1
data\BUS-CoT\000007.png,1
data\BUS-CoT\000008.png,1
data\BUS-CoT\000009.png,1
data\BUS-CoT\000010.png,1
data\BUS-CoT\000011.png,1
data\BUS-CoT\000012.png,1
data\BUS-CoT\000013.png,1
data\BUS-CoT\000014.png,1
data\BUS-CoT\000015.png,1
data\BUS-CoT\000016.png,1
data\BUS-CoT\000017.png,2
data\BUS-CoT\000018.png,1
data\BUS-CoT\000019.png,1
data\BUS-CoT\000020.png,1
data\BUS-CoT\000021.png,1
data\BUS-CoT\000022.png,2
data\BUS-CoT\000023.png,2
data\BUS-CoT\000024.png,2
data\BUS-CoT\000025.png,1
data\BUS-CoT\000026.png,2
data\BUS-CoT\000027.png,2
data\BUS-CoT\000028.png,2
data\BUS-CoT\000029.png,2
data\BUS-CoT\000030.png,2
data\BUS-CoT\000031.png,1
data\BUS-CoT\000032.png,1
data\BUS-CoT\000033.png,1
data\BUS-CoT\000034.png,1
data\BUS-CoT\000035.png,1
data\BUS-CoT\000036.png,1
data\BUS-CoT\000037.png,1
data\BUS-CoT\000038.png,1
data\BUS-CoT\000039.png,1
data\BUS-CoT\000040.png,2
data\BUS-CoT\000041.png,1
data\BUS-CoT\000042.png,2
data\BUS-CoT\000043.png,2
data\BUS-CoT\000044.png,2
data\BUS-CoT\000045.png,2
data\BUS-CoT\000046.png,2
data\BUS-CoT\000047.png,2
data\BUS-CoT\000048.png,2
data\BUS-CoT\000049.png,2
data\BUS-CoT\000050.png,1
data\BUS-CoT\000051.png,1
data\BUS-CoT\000052.png,2
data\BUS-CoT\000053.png,2
data\BUS-CoT\000054.png,2
data\BUS-CoT\000055.png,1
data\BUS-CoT\000056.png,2
data\BUS-CoT\000057.png,1
data\BUS-CoT\000058.png,1
data\BUS-CoT\000059.png,1
data\BUS-CoT\000060.png,1
data\BUS-CoT\000061.png,1
data\BUS-CoT\000062.png,1
data\BUS-CoT\000063.png,1
data\BUS-CoT\000064.png,1
data\BUS-CoT\000065.png,1
data\BUS-CoT\000066.png,1
data\BUS-CoT\000068.png,1
data\BUS-CoT\000069.png,1
data\BUS-CoT\000070.png,1
data\BUS-CoT\000071.png,1
data\BUS-CoT\000072.png,1
data\BUS-CoT\000073.png,1
data\BUS-CoT\000074.png,1
data\BUS-CoT\000075.png,1
data\BUS-CoT\000076.png,1
data\BUS-CoT\000077.png,1
data\BUS-CoT\000078.png,1
data\BUS-CoT\000079.png,1
data\BUS-CoT\000080.png,1
data\BUS-CoT\000081.png,1
data\BUS-CoT\000082.png,1
data\BUS-CoT\000083.png,1
data\BUS-CoT\000084.png,1
data\BUS-CoT\000085.png,1
data\BUS-CoT\000086.png,1
data\BUS-CoT\000087.png,1
data\BUS-CoT\000088.png,1
data\BUS-CoT\000089.png,1
data\BUS-CoT\000090.png,1
data\BUS-CoT\000091.png,1
data\BUS-CoT\000092.png,1
data\BUS-CoT\000093.png,1
data\BUS-CoT\000094.png,1
data\BUS-CoT\000095.png,1
data\BUS-CoT\000096.png,1
data\BUS-CoT\000097.png,1
data\BUS-CoT\000098.png,1
data\BUS-CoT\000099.png,1
data\BUS-CoT\000100.png,1
data\BUS-CoT\000101.png,1
data\BUS-CoT\000102.png,1
data\BUS-CoT\000103.png,1
data\BUS-CoT\000104.png,1
data\BUS-CoT\000105.png,1
data\BUS-CoT\000106.png,1
data\BUS-CoT\000107.png,1
data\BUS-CoT\000108.png,1
data\BUS-CoT\000109.png,1
data\BUS-CoT\000110.png,1
data\BUS-CoT\000111.png,1
data\BUS-CoT\000112.png,1
data\BUS-CoT\000113.png,1
data\BUS-CoT\000114.png,1
data\BUS-CoT\000115.png,1
data\BUS-CoT\000116.png,1
data\BUS-CoT\000117.png,1
data\BUS-CoT\000118.png,1
data\BUS-CoT\000119.png,1
data\BUS-CoT\000120.png,1
data\BUS-CoT\000121.png,1
data\BUS-CoT\000122.png,1
data\BUS-CoT\000123.png,1
data\BUS-CoT\000124.png,1
data\BUS-CoT\000125.png,1
data\BUS-CoT\000126.png,1
data\BUS-CoT\000127.png,1
data\BUS-CoT\000128.png,1
data\BUS-CoT\000129.png,1
data\BUS-CoT\000130.png,1
data\BUS-CoT\000131.png,2
data\BUS-CoT\000132.png,2
data\BUS-CoT\000133.png,2
data\BUS-CoT\000134.png,2
data\BUS-CoT\000135.png,2
data\BUS-CoT\000136.png,2
data\BUS-CoT\000137.png,2
data\BUS-CoT\000138.png,2
data\BUS-CoT\000139.png,2
data\BUS-CoT\000140.png,2
data\BUS-CoT\000141.png,2
data\BUS-CoT\000142.png,2
data\BUS-CoT\000143.png,2
data\BUS-CoT\000144.png,2
data\BUS-CoT\000145.png,2
data\BUS-CoT\000146.png,2
data\BUS-CoT\000147.png,2
data\BUS-CoT\000148.png,2
data\BUS-CoT\000149.png,2
data\BUS-CoT\000150.png,2
data\BUS-CoT\000151.png,2
data\BUS-CoT\000152.png,2
data\BUS-CoT\000153.png,2
data\BUS-CoT\000154.png,2
data\BUS-CoT\000155.png,2
data\BUS-CoT\000156.png,2
data\BUS-CoT\000157.png,2
data\BUS-CoT\000158.png,2
data\BUS-CoT\000159.png,2
data\BUS-CoT\000160.png,2
data\BUS-CoT\000161.png,2
data\BUS-CoT\000162.png,2
data\BUS-CoT\000163.png,2
data\BUS-CoT\000164.png,2
data\BUS-CoT\000165.png,1
data\BUS-CoT\000166.png,1
data\BUS-CoT\000167.png,2
data\BUS-CoT\000168.png,2
data\BUS-CoT\000169.png,1
data\BUS-CoT\000170.png,1
data\BUS-CoT\000171.png,2
data\BUS-CoT\000172.png,2
data\BUS-CoT\000173.png,2
data\BUS-CoT\000174.png,1
data\BUS-CoT\000175.png,1
data\BUS-CoT\000176.png,1
data\BUS-CoT\000177.png,1
data\BUS-CoT\000178.png,2
data\BUS-CoT\000179.png,2
data\BUS-CoT\000180.png,2
data\BUS-CoT\000181.png,2
data\BUS-CoT\000182.png,1
data\BUS-CoT\000183.png,1
data\BUS-CoT\000184.png,2
data\BUS-CoT\000185.png,2
data\BUS-CoT\000186.png,1
